rule,string,count
849,1000101011000000,5
850,0100101011000000,5
851,1100101011000000,6
852,0010101011000000,5
853,1010101011000000,6
854,0110101011000000,6
855,1110101011000000,7
856,0001101011000000,5
857,1001101011000000,6
858,0101101011000000,6
859,1101101011000000,7
860,0011101011000000,6
861,1011101011000000,7
862,0111101011000000,7
863,1111101011000000,8
864,0000011011000000,4
865,1000011011000000,5
866,0100011011000000,5
867,1100011011000000,6
868,0010011011000000,5
869,1010011011000000,6
870,0110011011000000,6
871,1110011011000000,7
872,0001011011000000,5
873,1001011011000000,6
874,0101011011000000,6
875,1101011011000000,7
876,0011011011000000,6
877,1011011011000000,7
878,0111011011000000,7
879,1111011011000000,8
880,0000111011000000,5
881,1000111011000000,6
882,0100111011000000,6
883,1100111011000000,7
884,0010111011000000,6
885,1010111011000000,7
886,0110111011000000,7
887,1110111011000000,8
888,0001111011000000,6
889,1001111011000000,7
890,0101111011000000,7
891,1101111011000000,8
892,0011111011000000,7
893,1011111011000000,8
894,0111111011000000,8
895,1111111011000000,9
896,0000000111000000,3
897,1000000111000000,4
898,0100000111000000,4
899,1100000111000000,5
900,0010000111000000,4
901,1010000111000000,5
902,0110000111000000,5
903,1110000111000000,6
904,0001000111000000,4
905,1001000111000000,5
906,0101000111000000,5
907,1101000111000000,6
908,0011000111000000,5
909,1011000111000000,6
910,0111000111000000,6
911,1111000111000000,7
912,0000100111000000,4
913,1000100111000000,5
914,0100100111000000,5
915,1100100111000000,6
916,0010100111000000,5
917,1010100111000000,6
918,0110100111000000,6
919,1110100111000000,7
920,0001100111000000,5
921,1001100111000000,6
922,0101100111000000,6
923,1101100111000000,7
924,0011100111000000,6
925,1011100111000000,7
926,0111100111000000,7
927,1111100111000000,8
928,0000010111000000,4
929,1000010111000000,5
930,0100010111000000,5
931,1100010111000000,6
932,0010010111000000,5
933,1010010111000000,6
934,0110010111000000,6
935,1110010111000000,7
936,0001010111000000,5
937,1001010111000000,6
938,0101010111000000,6
939,1101010111000000,7
940,0011010111000000,6
941,1011010111000000,7
942,0111010111000000,7
943,1111010111000000,8
944,0000110111000000,5
945,1000110111000000,6
946,0100110111000000,6
947,1100110111000000,7
948,0010110111000000,6
949,1010110111000000,7
950,0110110111000000,7
951,1110110111000000,8
952,0001110111000000,6
953,1001110111000000,7
954,0101110111000000,7
955,1101110111000000,8
956,0011110111000000,7
957,1011110111000000,8
958,0111110111000000,8
959,1111110111000000,9
960,0000001111000000,4
961,1000001111000000,5
962,0100001111000000,5
963,1100001111000000,6
964,0010001111000000,5
965,1010001111000000,6
966,0110001111000000,6
967,1110001111000000,7
968,0001001111000000,5
969,1001001111000000,6
970,0101001111000000,6
971,1101001111000000,7
972,0011001111000000,6
973,1011001111000000,7
974,0111001111000000,7
975,1111001111000000,8
976,0000101111000000,5
977,1000101111000000,6
978,0100101111000000,6
979,1100101111000000,7
980,0010101111000000,6
981,1010101111000000,7
982,0110101111000000,7
983,1110101111000000,8
984,0001101111000000,6
985,1001101111000000,7
986,0101101111000000,7
987,1101101111000000,8
988,0011101111000000,7
989,1011101111000000,8
990,0111101111000000,8
991,1111101111000000,9
992,0000011111000000,5
993,1000011111000000,6
994,0100011111000000,6
995,1100011111000000,7
996,0010011111000000,6
997,1010011111000000,7
998,0110011111000000,7
999,1110011111000000,8
1000,0001011111000000,6
1001,1001011111000000,7
1002,0101011111000000,7
1003,1101011111000000,8
1004,0011011111000000,7
1005,1011011111000000,8
1006,0111011111000000,8
1007,1111011111000000,9
1008,0000111111000000,6
1009,1000111111000000,7
1010,0100111111000000,7
1011,1100111111000000,8
1012,0010111111000000,7
1013,1010111111000000,8
1014,0110111111000000,8
1015,1110111111000000,9
1016,0001111111000000,7
1017,1001111111000000,8
1018,0101111111000000,8
1019,1101111111000000,9
1020,0011111111000000,8
1021,1011111111000000,9
1022,0111111111000000,9
1023,1111111111000000,10
